name,city,date,time,rating,Sun,Moon,Ascendant,bio,link Astro-Databank,group
"Modugno, Domenico","Polignano a Mare, Italy",1928-01-09,15:00,AA,18°05′ Capricorn,17°30′ Leo,27°26′ Gemini,"Italian singer and songwriter who took top prize at the 1958 San Remo music festival for the song ""Nel Blu, Dipinto Di Blu,"" a song know as, ""Volare,"" in the U.S. ","https://www.astro.com/astro-databank/Modugno,_Domenico",control group
"Kennedy, James C.","Honolulu, Hawaii",1947-11-29,18:00,A,07°06′ Sagittarius,01°31′ Cancer,11°00′ Gemini,"American billionaire, media executive and the current chair of Cox Enterprises, the conglomerate founded by his grandfather, James M. Cox. ","https://www.astro.com/astro-databank/Kennedy,_James_C.",control group
"Carpenter, A. J.","Ely, Nevada",1911-06-09,06:30,AA,17°37′ Gemini,22°32′ Scorpio,17°34′ Cancer,American Rear Admiral in the United States Coast Guard. ,"https://www.astro.com/astro-databank/Carpenter,_A._J.",control group
"Manheim, Camryn","Glen Ridge, New Jersey",1961-03-08,11:55,AA,17°53′ Pisces,29°55′ Scorpio,06°52′ Cancer,"American actress known for her roles as attorney Ellenor Frutt on ABC's ""The Practice,"" Delia Banks on CBS's ""Ghost Whisperer,"" Gladys Presley in the 2005 miniseries ""Elvis,"" and 'Control' on Person of Interest.","https://www.astro.com/astro-databank/Manheim,_Camryn",control group
"Bartlett, Heather","Burlington, Vermont",1989-05-22,05:59,AA,01°17′ Gemini,20°28′ Sagittarius,11°41′ Gemini,American talent pageant competitor who was crowned Miss Vermont’s Outstanding Teen 2006 at age 16.,"https://www.astro.com/astro-databank/Bartlett,_Heather",control group
"Puig, Manuel","General Villegas (Buenos Aires), Argentina",1932-12-28,02:00,AA,06°17′ Capricorn,16°25′ Capricorn,28°09′ Libra,Argentine author.,"https://www.astro.com/astro-databank/Puig,_Manuel",control group
"Croccolo, Carlo","Naples, Italy",1927-04-09,12:20,A,18°37′ Aries,23°57′ Cancer,05°46′ Leo,"Italian stage and screen actor, voice actor, director and screenwriter, who appeared in over 100 films since 1949. ","https://www.astro.com/astro-databank/Croccolo,_Carlo",control group
"Aldred, Sophie","London, England",1962-08-20,06:00,A,26°42′ Leo,27°23′ Aries,26°55′ Leo,"British entertainer, appearing in the TV series ""Doctor Who"" and co-host of a paranormal series ""It's a Mystery,"" September 1996.","https://www.astro.com/astro-databank/Aldred,_Sophie",control group
"Bacharan, Nicole","St.Gaudens, France",1955-01-25,22:00,AA,05°08′ Aquarius,27°08′ Aquarius,22°21′ Virgo,"French-American historian and political scientist, famous for her books and TV appearances in France and the United States.","https://www.astro.com/astro-databank/Bacharan,_Nicole",control group
"Maydaichevsky, Ivan","Le Creusot, France",1932-04-06,04:00,AA,16°06′ Aries,16°51′ Aries,11°52′ Aquarius,French dancer.,"https://www.astro.com/astro-databank/Maydaichevsky,_Ivan",control group
"Zutphen, Jan van","Utrecht, Netherlands",1863-10-08,00:00,AA,14°12′ Libra,18°52′ Leo,08°34′ Leo,"Dutch trade unionist of the diamond workers' union and founder and chairman of sanatorium Zonnestraal ('Sunray' Sanatorium) in Hilversum, now on the Unesco World heritage list.","https://www.astro.com/astro-databank/Zutphen,_Jan_van",control group
"Otto, Elinor","Los Angeles, California",1919-10-28,07:20,AA,04°09′ Scorpio,25°56′ Sagittarius,18°03′ Scorpio,"American woman, one of the original Rosie the Riveters, having built airplanes for 50 years.","https://www.astro.com/astro-databank/Otto,_Elinor",control group
"Bonnell, Phillip Lee","Los Angeles, California",1943-03-19,12:59,AA,28°21′ Pisces,04°13′ Virgo,13°19′ Cancer,"American noted family, the first son of actress Gale Storm and actor Lee Bonnel.","https://www.astro.com/astro-databank/Bonnell,_Phillip_Lee",control group
"Morissette, Alanis","Ottawa, Ontario (CAN)",1974-06-01,09:51,A,10°41′ Gemini,01°28′ Scorpio,08°39′ Leo,"Canadian-American musician, singer, songwriter and actress, known for her emotive mezzo-soprano voice and confessional songwriting.","https://www.astro.com/astro-databank/Morissette,_Alanis",control group
"Blackman, Charles","Sydney, Australia",1928-08-12,11:30,A,19°05′ Leo,03°14′ Cancer,00°29′ Sagittarius,"Australian painter, noted for the Schoolgirl, Avonsleigh and Alice in Wonderland series of the 1950s. ","https://www.astro.com/astro-databank/Blackman,_Charles",control group
"Forrester, Eugene Priest","Watertown (Wilson County), Tennessee",1926-04-17,19:00,AA,27°15′ Aries,05°45′ Cancer,06°23′ Scorpio,"American military, major general. ","https://www.astro.com/astro-databank/Forrester,_Eugene_Priest",control group
"Ashbery, John","Rochester, New York",1927-07-28,08:20,A,04°25′ Leo,01°48′ Leo,01°06′ Virgo,"American poet and professor, winner of the Pulitzer Prize for Poetry among other prestigious awards.","https://www.astro.com/astro-databank/Ashbery,_John",control group
"Richelot, Louis-Gustave","Paris, France",1844-11-14,19:30,AA,22°35′ Scorpio,23°39′ Capricorn,13°57′ Cancer,"French surgeon and gynaecologist whose main work appeared in the Union médicale, of which he was director, and in the Dictionnaire encyclopédique des Sciences médicales (Encyclopaedic Dictionary of Medical Sciences).","https://www.astro.com/astro-databank/Richelot,_Louis-Gustave",control group
"Trapp, Werner von","Zell am See, Austria",1915-12-21,20:30,AA,28°52′ Sagittarius,01°51′ Cancer,19°08′ Leo,"Austrian-American singer from a noted family, as the second-oldest son of Georg von Trapp and his first wife, Agathe Whitehead von Trapp.","https://www.astro.com/astro-databank/Trapp,_Werner_von",control group
"Arens, Skye","Springfield, Vermont",1999-08-12,16:32,AA,19°41′ Leo,07°28′ Virgo,23°05′ Sagittarius,"American child actress onscreen from age one in the film Riding in Cars with Boys (2001), followed by such TV series as Bones (2005) and films like Wonder Woman (2009).","https://www.astro.com/astro-databank/Arens,_Skye",control group
"Uggams, Leslie","New York, New York",1943-05-25,22:30,A,03°59′ Gemini,27°59′ Aquarius,04°05′ Capricorn,"American actress and singer with a career that began when she was five, making a TV debut at seven.","https://www.astro.com/astro-databank/Uggams,_Leslie",control group
"Modigliani, Jeanne","Nice, France",1918-11-29,20:05,A,06°49′ Sagittarius,25°00′ Libra,03°40′ Leo,"French noted family, the daughter of famous painter Amedeo Modigliani. ","https://www.astro.com/astro-databank/Modigliani,_Jeanne",control group
"Deluol, André","Valence, France",1909-08-27,21:30,AA,03°56′ Virgo,18°44′ Capricorn,22°15′ Taurus,French sculptor who died in Saint-Michel-en-l'Herm on 26 April 2003.,"https://www.astro.com/astro-databank/Deluol,_Andr%C3%A9",control group
"Pieters, Sven","Blankenberge, Belgium",1976-06-05,10:00,AA,14°49′ Gemini,13°01′ Virgo,19°15′ Leo,"Belgian field and track champion, the holder of the Belgian record, which he improved at the Atlanta Olympics on 2 July 1996.","https://www.astro.com/astro-databank/Pieters,_Sven",control group
"Gambineri, Annamaria","Rome, Italy",1936-03-22,07:20,AA,01°28′ Aries,18°25′ Pisces,29°26′ Aries,Italian TV announcer since the beginning of Italian TV.,"https://www.astro.com/astro-databank/Gambineri,_Annamaria",control group
"Christensen, Haaken","Oslo, Norway",1924-02-16,18:40,AA,26°48′ Aquarius,09°47′ Cancer,12°05′ Virgo,"Norwegian art historian, art collector, and gallery owner. ","https://www.astro.com/astro-databank/Christensen,_Haaken",control group
"Reedy, George","East Chicago, Indiana",1917-08-05,16:45,AA,12°15′ Leo,21°37′ Pisces,04°42′ Capricorn,"American government official, who served as the eighth White House Press Secretary under President Lyndon B. Johnson from 1964 to 1965.","https://www.astro.com/astro-databank/Reedy,_George",control group
"Claxton, William","Glendale (Los Angeles County), California",1927-10-12,06:45,AA,18°16′ Libra,12°57′ Taurus,27°48′ Libra,"American photographer and author, best known for his photography of jazz musicians including Chet Baker, and celebrities and models.","https://www.astro.com/astro-databank/Claxton,_William",control group
"Tallarico, Taj Monroe","Los Angeles, California",1992-01-30,09:53,AA,10°06′ Aquarius,26°25′ Sagittarius,14°08′ Aries,"American noted family, the second child and son of Teresa and Steven Tyler, lead singer of ""Aerosmith.""","https://www.astro.com/astro-databank/Tallarico,_Taj_Monroe",control group
